Magnitude,Location,Latitude,Longitude
1.78,"24 km ENE of Maricopa, CA",35.1080017,-119.1480026
1.3,"51 km N of Larsen Bay, Alaska",57.9993,-153.9201
4.9,South Sandwich Islands region,-59.4945,-26.1032
0.66,"13 km SW of Searles Valley, CA",35.681,-117.4946667
2.3,"102 km W of Akhiok, Alaska",56.8619,-155.8444
1.1,"4 km NNW of Minco, Oklahoma",35.35116667,-97.96766667
1.84,"24 km ENE of Maricopa, CA",35.104,-119.1415
1.44,"10 km SW of Morongo Valley, CA",33.9785,-116.6495
1.4,"16 km NNW of Four Mile Road, Alaska",64.7485,-149.1947
1.27,"0 km NW of The Geysers, CA",38.78,-122.76
1.27,"4 km SSW of Union City, Oklahoma",35.35483333,-97.9605
1.12,"2 km NE of The Geysers, CA",38.79,-122.75
1.79,"24 km ENE of Maricopa, CA",35.1041667,-119.1415
2.1,"41 km NNE of Chickaloon, Alaska",62.1583,-148.2969
1.1,"31 km SE of Glacier View, Alaska",61.6224,-147.212
1.77999997,"6 km S of Volcano, Hawaii",19.386833190918,-155.245330810547
1.33,"6 km NNW of The Geysers, CA",38.82,-122.8
2.12,"6 km NNW of The Geysers, CA",38.82,-122.8
2.54,"5 km S of Volcano, Hawaii",19.3946666717529,-155.242828369141
5.2,"46 km W of Otobe, Japan",42.0107,139.584
1.55,"22 km NW of Grapevine, CA",35.1046667,-119.0738333
2,"21 km NW of Grapevine, CA",35.0863333,-119.0835
1.4,"24 km E of Maricopa, CA",35.0903333,-119.1368333
4.4,west of Macquarie Island,-56.2565,146.8662
1.15,"20 km NW of Grapevine, CA",35.083,-119.0721667
2.5,"6 km S of Volcano, Hawaii",19.3866672515869,-155.242492675781
2.77,"8 km S of Fern Forest, Hawaii",19.3859996795654,-155.143325805664
1.99,"7 km SSW of Volcano, Hawaii",19.3784999847412,-155.253005981445
2.6,"24 km E of Pāhala, Hawaii",19.1998329162598,-155.249664306641
1.44,"3 km ESE of Yucaipa, CA",34.0195,-117.0141667
1.5,"60 km NNE of Petersville, Alaska",62.9881,-150.2749
0.78,"7 km NNW of The Geysers, CA",38.83,-122.81
1.37,"11 km N of Mojave, CA",35.1493333,-118.1791667
1.94,"24 km NW of Grapevine, CA",35.0951667,-119.115
1.8,"31 km N of Petersville, Alaska",62.7747,-150.6649
1.7,"5 km ESE of Califon, New Jersey",40.7076,-74.7754
2.65,"22 km SW of Lamont, CA",35.113,-119.0788333
2.2,"56 km NNW of Petersville, Alaska",62.9869,-151.0382
1.4,"28 km ESE of Campo, CA",32.499,-116.2036667
1.35,"22 km NW of Grapevine, CA",35.0895,-119.0906667
2.11,"24 km NW of Grapevine, CA",35.1008333,-119.1176667
1.11,"23 km SW of Lamont, CA",35.1126667,-119.0913333
2.14,"22 km NW of Grapevine, CA",35.0926667,-119.0953333
2.57,"24 km NW of Grapevine, CA",35.0993333,-119.1185
1.2,"21 km NW of Grapevine, CA",35.076,-119.1005
1.75,"2 km NW of Diablo, CA",37.85,-121.97
1.7,"87 km NW of Skwentna, Alaska",62.6015,-152.4476
1.6,"34 km NNW of Valdez, Alaska",61.4016,-146.6434
1.39,"12 km NE of Alum Rock, CA",37.46,-121.77
1.87,"25 km NW of Grapevine, CA",35.1058333,-119.1248333
1.8,"11 km S of Nanwalek, Alaska",59.2585,-151.9486
4.6,"20 km ESE of Nichinan, Japan",31.5624,131.5807
2.29,"23 km NW of Grapevine, CA",35.1001667,-119.0951667
1.72,"9 km SE of Volcano, Hawaii",19.3743324279785,-155.182006835938
4.8,"31 km SE of Miyazaki, Japan",31.7336,131.6714
1.64,"24 km E of Maricopa, CA",35.0766667,-119.1433333
2.6,"67 km NE of Ruby, Alaska",65.111,-154.3478
3.9,"71 km SSW of La Tirana, Chile",-20.8196,-70.5018
3,"105 km SSE of Lowell Point, Alaska",59.1804,-148.7976
0.66,"9 km SW of Idyllwild, CA",33.6771667,-116.7776667
1.95,"24 km E of Maricopa, CA",35.0966667,-119.1351667
2.18,"13 km NNE of Big Bend, CA",41.13,-121.88
7.1,"20 km NE of Nichinan, Japan",31.7191,131.5271
1.87,"7 km NNW of Malibu, CA",34.0606667,-118.8485
1.58,"24 km SW of Lamont, CA",35.112,-119.1011667
1.92999995,"5 km SSW of Volcano, Hawaii",19.3993339538574,-155.254669189453
0.76,"10 km NW of The Geysers, CA",38.83,-122.85
1.54,"24 km SW of Lamont, CA",35.1105,-119.1071667
0.98,"4 km SSW of Union City, Oklahoma",35.355,-97.95833333
1.36,"25 km SW of Lamont, CA",35.1143333,-119.1241667
4.2,"87 km E of Kyzyl-Eshme, Kyrgyzstan",39.5295,73.2883
1.8,"16 km S of Funny River, Alaska",60.3545,-150.8002
1.18,"22 km SW of Lamont, CA",35.12,-119.0926667
0.61,"8 km NNE of Borrego Springs, CA",33.3193333,-116.3346667
2.5,"25 km SW of Susitna North, Alaska",62.0248,-150.2457
1.5,"17 km E of Fernley, Nevada",39.5952,-119.0522
1.31,"22 km NW of Grapevine, CA",35.1026667,-119.0793333
1.5,"15 km E of Fernley, Nevada",39.5966,-119.0684
1.34,"24 km NW of Grapevine, CA",35.1033333,-119.1055
1.36,"21 km NW of Grapevine, CA",35.0703333,-119.0995
-0.37,"15 km NE of Milford, Utah",38.5008333333333,-112.899833333333
1.59,"24 km ENE of Maricopa, CA",35.1043333,-119.14
1.87,"21 km NW of Grapevine, CA",35.0935,-119.0766667
1.26,"22 km SW of Lamont, CA",35.1146667,-119.084
1.14,"13 km N of Castaic, CA",34.6055,-118.6313333
1.17,"24 km NW of Grapevine, CA",35.097,-119.1168333
1.77,"6 km SSW of Volcano, Hawaii",19.386999130249,-155.249496459961
1.41,"24 km SW of Lamont, CA",35.1143333,-119.1085
0.97,"20 km ESE of Mayfield, Utah",39.0748333333333,-111.484166666667
1.94,"6 km S of Volcano, Hawaii",19.3853340148926,-155.244171142578
1.9,"37 km NNW of Toyah, Texas",31.604,-103.992
3.8,"33 km SSE of La Tirana, Chile",-20.6196,-69.5465
2.1,"21 km NW of Grapevine, CA",35.0776667,-119.0911667
1.58,"23 km NW of Grapevine, CA",35.0963333,-119.1006667
1.8,"7 km N of Skwentna, Alaska",62.0555,-151.3806
1.54,"25 km SW of Lamont, CA",35.1118333,-119.123
1.37,"15 km NW of Coso Junction, CA",36.151,-118.0511667
1.36,"21 km SE of Ocotillo, CA",32.575,-115.8655
1.33,"22 km E of Maricopa, CA",35.0438333,-119.1643333
2.49,"6 km E of La Parguera, Puerto Rico",17.9645,-66.9848333333333
0.68,"15 km NE of Milford, Utah",38.501,-112.899
1.9,"46 km ESE of Pope-Vannoy Landing, Alaska",59.3316,-153.8121
1.78,"25 km NW of Grapevine, CA",35.1053333,-119.1201667
2.94,"24 km NW of Grapevine, CA",35.0996667,-119.1123333
1.74000001,"7 km NNE of Pāhala, Hawaii",19.2643337249756,-155.453506469727
0.91,"8 km WNW of Cobb, CA",38.84,-122.82
1.59,"25 km NW of Grapevine, CA",35.1035,-119.1186667
0.92,"25 km NW of Grapevine, CA",35.1053333,-119.1203333
0.07,"15 km NE of Milford, Utah",38.5015,-112.901
1.08,"14 km NE of Milford, Utah",38.4986666666667,-112.899
0.32,"14 km NE of Milford, Utah",38.4986666666667,-112.903666666667
2.8,"38 km NNW of Toyah, Texas",31.614,-103.997
2.9,"38 km NNW of Toyah, Texas",31.612,-103.995
1.5,"22 km NW of Grapevine, CA",35.1046667,-119.0628333
5,"247 km WNW of Houma, Tonga",-20.48,-177.5638
1.5,"24 km NW of Grapevine, CA",35.101,-119.1116667
1.49,"22 km NW of Grapevine, CA",35.0976667,-119.0866667
1.48,"24 km SW of Lamont, CA",35.1111667,-119.1113333
1.33,"21 km NW of Grapevine, CA",35.0923333,-119.0776667
2,"17 km WNW of Old Harbor, Alaska",57.2467,-153.5862
1.7743293046951294,"12 km E of Wilkeson, Washington",47.099998474121094,-121.87916564941406
1.28,"21 km NW of Grapevine, CA",35.0783333,-119.0935
1.16,"22 km NW of Grapevine, CA",35.0988333,-119.0778333
3.6,"49 km ESE of Punta Cana, Dominican Republic",18.397,-67.9791
2.12,"6 km S of Volcano, Hawaii",19.3888339996338,-155.241836547852
2.6,"34 km WSW of Ackerly, Texas",32.403,-102.053
1.04,"9 km NW of The Geysers, CA",38.82,-122.84
1.32,"25 km SW of Lamont, CA",35.1113333,-119.1181667
1.32,"10 km ENE of Villa Park, CA",33.8446667,-117.708
1.21,"22 km SW of Lamont, CA",35.1176667,-119.0841667
2.16,"14 km SW of Leilani Estates, Hawaii",19.3738327026367,-155.007827758789
2.26,"7 km S of Volcano, Hawaii",19.3776664733887,-155.244171142578
1.32,"22 km NW of Grapevine, CA",35.1033333,-119.0698333
1.52,"21 km NW of Grapevine, CA",35.0971667,-119.0698333
1.41,"21 km NW of Grapevine, CA",35.0968333,-119.067
1.98,"22 km NW of Grapevine, CA",35.099,-119.0713333
1.97,"22 km SW of Lamont, CA",35.1176667,-119.0816667
0.78,"14 km NE of Milford, Utah",38.497,-112.899
1.86,"21 km NW of Grapevine, CA",35.0945,-119.07
2.94,"23 km NW of Grapevine, CA",35.0896667,-119.1133333
2.19,"22 km SW of Lamont, CA",35.117,-119.0871667
2.99,"21 km NW of Grapevine, CA",35.0756683,-119.0920029
2.08,"2 km SW of Alamo, CA",37.84,-122.05
1.1,"14 km SW of Thatcher, Utah",41.589,-112.4005
3.26,"22 km NW of Grapevine, CA",35.0979996,-119.0719986
4.39,"22 km NW of Grapevine, CA",35.1016655,-119.0708313
0.69,"4 km SSW of Cabazon, CA",33.8888333,-116.8051667
1.02,"14 km NE of Milford, Utah",38.4961666666667,-112.900833333333
0.95,"4 km SSW of Cabazon, CA",33.8893333,-116.8083333
